Phase,진행 여부,구분,주 기능,상세 기능,구현,상세 구현,비고,담당자
Phase 1,시작 전,대화,대화: 처리 상태 표시,"AI가 응답을 준비하는 동안 ""장소를 검색하고 있어요..."", ""리뷰를 분석하고 있어요..."" 같은 진행 상태가 실시간으로 표시됨",처리 상태 표시,"LangGraph 노드 전환 시마다 WS로 { ""type"": ""status"", ""content"": ""..."" } 블록 전송. 노드별 상태 메시지 매핑 (intent_router → ""의도를 파악하고 있어요"", search_agent → ""장소를 검색하고 있어요"", review_tool → ""리뷰를 분석하고 있어요"" 등). text_stream 시작 시 로딩 해제",,이정
Phase 1,시작 전,대화,대화: 응답 중단,"AI 응답이 스트리밍되는 도중 ESC를 누르거나 ""중단"" 버튼을 클릭하면 즉시 생성이 멈춤",응답 중단 (Interrupt),"ESC 키 또는 중단 버튼 클릭 시 FE가 { ""type"": ""cancel"" } 메시지를 WS로 전송 → BE가 LangGraph 실행 중단 + LLM 스트리밍 연결 종료 → 지금까지 생성된 내용만 유지",,이정
Phase 1,시작 전,북마크,북마크 삭제,북마크 목록에서 특정 북마크를 삭제할 수 있음,북마크 삭제,북마크 목록에서 삭제 버튼 또는 스와이프로 개별 북마크 삭제. DELETE /api/v1/users/me/bookmarks/{bookmark_id},,강민서
Phase 1,시작 전,북마크,북마크 위치로 이동,북마크를 클릭하면 해당 대화의 해당 시점으로 자동 스크롤 이동. 아무리 오래된 대화도 원본이 보존되어 있으므로 항상 동작,북마크 위치로 이동,북마크 클릭 시 messages 테이블에서 해당 thread_id의 전체 메시지를 불러와서 message_id 위치로 FE 스크롤 이동. LLM 컨텍스트와 무관하게 동작 (conversations 테이블 원본 참조),,강민서
Phase 1,시작 전,북마크,북마크 생성,채팅 도중 특정 응답에 핀 버튼을 누르면 5가지 프리셋 중 하나를 선택하여 북마크 저장,북마크 생성,"채팅 중 특정 응답/쿼리에 핀 버튼 클릭 → 5종 프리셋(🏠 장소, 🎫 행사, 🗺️ 코스, 📊 분석, 📌 일반) 중 선택 → bookmarks 테이블에 (user_id, thread_id, message_id, pin_type) 저장",즐겨찾기 기능 대체,강민서
Phase 1,시작 전,북마크,대화별 북마크 필터,특정 대화를 선택하면 해당 대화에서 저장한 북마크만 필터링되어 표시됨,대화별 북마크 필터,대화 목록에서 특정 대화 탭 클릭 시 thread_id로 필터링하여 해당 대화의 북마크만 표시,,강민서
Phase 1,시작 전,북마크,전체 북마크 목록,북마크 탭에 들어가면 모든 대화의 북마크가 최신순으로 표시됨. 핀 타입 아이콘 + 메시지 미리보기 + 대화 제목,전체 북마크 목록 조회,GET /api/v1/users/me/bookmarks → 모든 대화의 북마크를 최신순으로 반환. 각 항목에 pin_type 아이콘 + 메시지 미리보기(preview_text) + 대화 제목 포함,,강민서
Phase 1,시작 전,회원가입 / 로그인,회원가입/로그인,"회원가입 페이지에서 이메일/비밀번호로 가입하거나, Google 계정으로 바로 로그인. 로그인 후 북마크/대화 이력 사용 가능",이메일+비밀번호 가입 + Google 소셜 로그인,FastAPI + JWT 토큰. 이메일+비밀번호 기본 가입. Google OAuth 2.0 소셜 로그인 (Calendar 연동 시너지),북마크/대화이력 전제조건,이정
Phase 1,시작 전,장소 분석,단일 장소 분석,"""이 카페 분석해줘"" 입력 시 6개 지표 점수 + 키워드 + 요약이 텍스트로 표시됨",place_analysis 테이블 조회 → 런타임 Gemini 채점,"""이 카페 분석해줘"" → place_analysis 테이블에서 6개 지표(전반적 만족도 satisfaction / 접근성 accessibility / 청결 cleanliness / 가성비 value / 분위기 atmosphere / 전문성 expertise) + 키워드 + 3줄 요약 반환. 'expertise'는 카테고리별 해석이 다릅니다 — 카페면 음료/맛 품질, 공원이면 경관/편의시설, 도서관이면 장서/프로그램 등으로 LLM이 카테고리에 따라 해석한다. REVIEW_COMPARE(비교)와 구분되는 단일 장소 분석.",v2: place_analysis DROP. 요청 시 Naver Blog + Google Reviews 크롤링 → Gemini 6지표 채점 → chart 블록 응답. 결과는 messages에 저장.,이정
Phase 1,시작 전,대화,중첩된 요청 대응,"하나의 메시지에 여러 요청이 포함되어 있으면 각각 순서대로 처리하여 응답. 예: ""카페 추천해주고, 주말 전시회도 알려줘"" → 카페 추천 응답 후 전시회 검색 응답이 이어서 나옴",복수 intent 순차 실행,"Intent Router가 하나의 메시지에서 복수 intent를 감지 → 각 intent를 순차적으로 실행 → 여러 종류의 응답 블록을 순서대로 WS 스트리밍.

예: ""홍대 카페 추천해주고, 이번 주말 전시회도 알려줘""
→ [intent: PLACE_RECOMMEND, EVENT_SEARCH]
→ PLACE_RECOMMEND 블록 먼저 스트리밍 (status → text_stream → places[] → map_markers)
→ EVENT_SEARCH 블록 이어서 스트리밍 (status → text_stream → events[])
→ done",,이정
Phase 1,시작 전,리뷰,리뷰 비교,"""스타벅스 vs 블루보틀 비교해줘"" 입력 시 6개 지표 레이더차트가 채팅창에 인라인으로 표시됨",6개 지표 런타임 Gemini 채점 + 레이더차트,Google Reviews + Naver Blog = 20건/장소 → Gemini LLM 6개 지표 채점 → Recharts 레이더차트. Naver-only 모드,v2: place_analysis DROP. 요청 시 Naver Blog + Google Reviews 크롤링 → Gemini 6지표 채점 → Recharts 레이더차트. 결과는 messages.blocks chart 블록에 저장.,정조셉
Phase 1,시작 전,비용,비용 견적,"""강남 이탈리안 2인 얼마?"" 입력 시 ""약 8~12만원"" 같은 예산 감각이 텍스트로 제공됨",3단계 가격 추정,① price_level + LLM 추정 ② Naver Blog 정규식 추출(min/max/avg) ③ 런타임 fallback. 식신 미확보,P1. 런타임 도구 미구현,정조셉
Phase 1,시작 전,이미지 검색,이미지 검색: 주인공 판단 쿼리,"사진에 간판이 여러 개일 때 ""어디를 찾으시나요? ① 스타벅스 ② 맥도날드"" 선택지 제시",OCR 복수 텍스트 시 주인공 판단,"Gemini Vision으로 맥락 판단 → 실패 시 사용자 선택지(""① 스타벅스 ② 맥도날드"")",,강민서
Phase 1,시작 전,이미지 검색,이미지 검색: 간판 없을 시 추천 장소 후보 표시,간판 없는 인테리어 사진 업로드 시 비슷한 분위기의 장소 5곳을 추천,간판 없으면 Gemini Vision → k-NN,Vision 1회 → 타입+키워드 → Gemini 768d → 배치 측셔닝 측션과 k-NN 유사도 검색 → Top 5,,강민서
Phase 1,시작 전,이미지 검색,이미지 검색 (OCR),간판이 보이는 사진 업로드 시 해당 장소를 자동 식별하여 정보 카드 표시,간판 있으면 easyocr → DB 검색,상호명 추출 → DB 검색. 체인점은 PostGIS 가까운 지점. LLM 0회 호출,P2. 노드 미구현,강민서
Phase 1,시작 전,혼잡도 분석,혼잡도 분석,"""홍대 지금 붐비나?"" 입력 시 현재 혼잡도(여유/보통/붐빔) + 인구 추이 정보가 표시됨",실시간 도시데이터 API,"서울시 API(5분갱신, 120장소). Cloud SQL population_stats(29만) + administrative_districts(427) 조인","v2: population_stats 278,880건 + administrative_districts 427동 적재 완료. PostGIS ST_Contains 공간 쿼리 준비 완료. 런타임 도구 구현 필요.",정조셉
Phase 1,시작 전,행사,행사 검색: 정형 검색,"""이번 주말 서울 전시회"" 입력 시 자체 DB에서 먼저 검색하고, 결과가 부족하면 네이버 검색으로 보완. 행사 카드 목록 표시",DB 우선 검색 → 부족 시 Naver fallback,1차: Cloud SQL events + OS events_vector 검색 → 결과 부족 시 2차: Naver 뉴스+블로그 병렬 6req → Gemini JSON mode 구조화 추출 → confidence 필터,,한정수
Phase 1,시작 전,지도,지도 마커,"검색/추천 결과 장소들이 번호 뱃지 마커로 지도에 표시되고, 클릭 시 장소 정보 팝업이 뜸",Leaflet 번호 뱃지 + 팝업,장소 위치 마커 표시. 클릭 시 장소 정보 팝업,,이정
Phase 1,시작 전,행사,행사 검색: 비정형 검색,"""아이와 갈 만한 체험"" 같은 자연어 검색도 관련 행사가 검색됨. DB에 저장된 행사 설명과 의미적으로 매칭",events_vector k-NN 검색,"""아이와 갈 만한 체험"" → Gemini 768d → OpenSearch k-NN + 날짜 Pre-filtering",,한정수
Phase 1,시작 전,코스,코스 추천: 타임라인별 경로 렌더링,"코스 타임라인 패널(순서별 장소, 도착시간, 체류시간, 이동수단) + 지도 경로가 동시에 나타남",course + map_route 블록 스키마,"stops[], markers[], polyline segments. course_id(ULID)로 묶임. Phase 1=straight, Phase 2=road (FE 변경없음)",api-course-spec 정의 완료,이정
Phase 1,시작 전,코스,코스 추천: 경로 표시,코스 추천 시 장소 간 실제 경로가 지도에 선으로 표시됨,OSRM 폴리라인,코스/경로 표시 시 실제 경로 렌더링. map_route 블록,"피드백: Google Maps 딕링크 경로 연결 고려 / 자동차, 도보, 대중교통 등 각 수단에 따른 경로를 따로 구분",이정
Phase 1,시작 전,일정,일정 추가,"""토요일 오후 2시에 경복궁 일정 추가해줘"" 입력 시 Google Calendar에 일정이 자동 생성됨",Google Calendar MCP,자연어 날짜/시간 → 일정 자동 생성 + 빈 시간 조회,"피드백: 자체 캘린더 탭 추가 고려, Phase 3",강민서
Phase 1,시작 전,코스,코스 추천,"""홍대 카페+전시+맛집 코스 짜줘"" 입력 시 타임라인 카드(시간별 장소 + 이동시간) + 지도 경로가 함께 표시됨",병렬 검색 → 경로 최적화 → 타임라인,카테고리별 asyncio.gather → PostGIS ST_DWithin → Greedy nearest-neighbor → OSRM 도보 경로 + 타임라인 카드,영업 시간도 고려 필요!,이정
Phase 1,시작 전,예약,예약 연동,"""여기 예약해줘"" 입력 시 네이버예약/카카오맵/야놀자 등 예약 페이지 링크 버튼이 제공됨. 직접 예약은 불가, 딥링크로 연결",DeepLink 4개 카테고리,"음식점(네이버/카카오/구글), 행사(KOPIS/인터파크), 공공시설(http://yeyak.seoul.go.kr), 숙박(야놀자/여기어때). 전화번호 fallback",,강민서
Phase 1,시작 전,대화,대화: 의도 분류,사용자가 메시지를 입력하면 AI가 자동으로 의도를 판별하여 적절한 기능을 실행. 사용자는 별도 조작 없이 채팅만 하면 됨,자연어 → 13개 Intent 자동 분류,사용자가 입력한 메시지를 AI가 자동으로 분류,의미 없는 쿼리 / 민감 정보 쿼리 시 적절한 대응 필요,이정
Phase 1,시작 전,대화,대화: 대화 창에 요청 구분 표시,"장소 카드, 지도, 레이더차트, 행사 카드 등 시각 컨포넌트만 인라인 표시. 내부 블록 타입(intent 등)은 사용자에게 노출하지 않음",16종 블록 타입 프론트 렌더링,16종 콘텐츠 블록: intent/text/text_stream/place/places/events/course/map_markers/map_route/chart/calendar/references/analysis_sources/disambiguation/done/error. WS 제어 프레임(messages 미저장): status/done_partial.,v2: favorites 블록 삭제 (북마크 전환). 16종 콘텐츠 블록: intent/text/text_stream/place/places/events/course/map_markers/map_route/chart/calendar/references/analysis_sources/disambiguation/done/error,이정
Phase 1,시작 전,대화,대화: 쿼리 전처리,사용자 쿼리가 들어오는 모든 기능에서 자동으로 검색어를 확장/수정하여 검색 품질 향상,사용자 쿼리 확장/수정 (모든 검색 기능 공통),"Intent Router 직후에 공통으로 실행. ""카공"" → ""콘센트 카페"", ""이번 주말 전시"" → ""서울 무료 전시 2026년 3월"" 등. Gemini JSON mode",,이정
Phase 1,시작 전,대화,대화: 대화 이력 관리,"사이드바에서 이전 채팅 목록이 표시되고, 클릭하면 해당 대화로 이동",GET /api/v1/chats,"conversations 테이블에서 user_id로 thread 목록을 최신순(updated_at DESC)으로 반환. langgraph_checkpoints에는 user_id가 metadata JSON에만 있어 인덱스 조회가 불가하므로, 채팅 목록 조회는 반드시 conversations를 기준으로 수행한다.",,이정
Phase 1,시작 전,대화,대화: 세션 유지,브라우저를 닫았다가 다시 열어도 이전 대화가 복원됨. 전체 대화 이력은 원본 그대로 영구 보존되어 북마크에서 상시 접근 가능,LLM 컨텍스트 복원 + 전체 대화 이력 영속 저장,"1) langgraph-checkpoint-postgres: LLM 컨텍스트 복원용 (압축 가능)
2) messages 테이블: 전체 대화 원본 append-only 저장 (절대 삭제/압축 안 함). UI 표시 + 북마크용",북마크 기능의 전제조건,이정
Phase 1,시작 전,장소,장소 추천,"""카공하기 좋은 카페"" 입력 시 조건에 맞는 장소 5개가 카드로 표시되고, 각 장소마다 추천 이유가 함께 나옴",SQL + Vector k-NN + LLM Rerank 3단계,PostGIS ST_DWithin(DB) + Google Places Text Search 확장 쿼리 3개(API) 병렬 → 합산/중복제거 → place_analysis 6개 지표 가중 스코어링 → 상위 N건,v2: place_analysis 리랭킹 → LLM Rerank(Gemini Flash)로 전환. 카테고리 pre-filter + Vector + Gemini 후보 재정렬. 테스트 9/9 정확도.,이정
Phase 1,시작 전,장소,장소 검색,"""홍대 카페"" 입력 시 장소 카드(이름, 평점, 주소, 사진)가 채팅창에 인라인으로 표시됨",SQL + Vector k-NN 하이브리드 검색,Phase 1 초기: Google Places Text Search 직접 → 이후: Text-to-SQL(Cloud SQL) + places_vector k-NN(OpenSearch Gemini 768d) 병합 검색으로 전환,v2: places_vector 535K 적재 완료 (3-Layer page_content). Text-to-SQL(PG+PostGIS) + places_vector k-NN(OS 768d) 병합 검색 전환 완료.,이정
Phase 1,시작 전,장소,장소 추천: 사유 표시,"각 추천 장소 카드 아래에 ""콘센트가 많고 넓어서 작업하기 좋아요"" 같은 추천 이유가 스트리밍되고, 네이버 블로그 링크 pill이 표시됨",리뷰 수집 + text_stream 추천 이유,Naver Blog + Google Reviews 병렬 수집 → 키워드 리랭킹 → 장소별 추천 이유 + 블로그 pill 링크,,이정
Phase 1,시작 전,대화,대화 스트리밍,AI 응답이 한 글자씩 실시간으로 타이핑되며 표시됨. ChatGPT/Claude처럼 스트리밍 응답,토큰 단위 실시간 전송,FastAPI WebSocket → text_stream 블록으로 LLM 응답 토큰 단위 전송,,이정
ETL,시작 전,,모니터링,,Grafana+Prometheus+Loki+Jaeger → Slack 알림,"GCE에 모니터링 스택 배포. 메트릭(응답시간/오류율), 로그(FastAPI), 트레이싱(LangGraph 노드별) 수집 → 임계값 초과 시 Slack 알림",아키텍처 이미지에 Naver API 누락 — 업데이트 필요,
ETL,시작 전,,,,load_place_http://reviews.py,Cloud SQL place_analysis → summary+keywords 결합 → Gemini 768d → OS place_reviews Bulk 적재,17건 적재,
ETL,시작 전,,,(내부) 사용자에게 노출 안 됨. 행사 의미 검색을 위한 벡터 DB 적재,load_events_http://vector.py,Cloud SQL events → title+summary 결합 → Gemini 768d 임베딩 → OS events_vector Bulk 적재,"1,146건 적재",
ETL,시작 전,,,(내부) 사용자에게 노출 안 됨. 백그라운드에서 메뉴/가격 데이터 수집,collect_price_http://data.py,Naver Blog 카테고리별 검색 → 3중 필터링 → 정규식 '숫자+원' → min/max/avg → Cloud SQL raw_data JSONB. 장소당 0.3초,12건 검증,
ETL,시작 전,,,(내부) 사용자에게 노출 안 됨. 검색 품질 향상을 위한 장소 벡터 DB 적재,load_places_http://vector.py,Cloud SQL places → page_content 템플릿 생성 → Gemini 768d 임베딩 → OS places_vector Bulk 적재,100건 적재,
ETL,시작 전,,,(내부 ETL) 사용자에게 노출 안 됨. 장소 이미지의 분위기 설명 텍스트 생성,load_image_http://captions.py,"Google Places Photos → Claude Haiku 측셔닝(3문장) → Gemini 768d → OS places_vector image_caption + image_embedding. ~1,000건 대상",코드 완성. ~$3/1K,
ETL,완료,,리뷰 배치 분석,(내부) 사용자에게 노출 안 됨. 백그라운드에서 장소별 리뷰 분석 데이터 생성,batch_review_http://analysis.py → 삭제 (place_analysis DROP),Google Reviews + Naver Blog → 광고 필터 → Gemini 6개 지표 + 키워드 + 3줄 요약 → Cloud SQL place_analysis + OS place_reviews Gemini 768d,v2: place_analysis 테이블 DROP. 리뷰 분석은 런타임 Gemini 채점으로 전환. ETL 배치 적재 불필요.,
