주 기능,Phase,구분,구현,담당자,비고,상세 구현,상세 기능,진행 여부
,,,2.5.2 Vision 경로 (간판 없음),,,Gemini Vision 1회 호출 → 장소 타입+분위기 키워드 추출 → Gemini gemini-embedding-001(768d)로 벡터 변환 → OpenSearch(GCE) 배치 측셔닝된 측션 임베딩과 k-NN 유사도 검색 → Top 5,,시작 전
,,,2.3.1 Leaflet 마커 + 팝업,,,번호 뱃지 마커로 장소 위치 표시. 클릭 시 팝업으로 장소 정보 표시,,완료
2. 장소,,,2.1.1 자연어 장소 검색,,,"""홍대 카페"" → Google Places Text Search → 장소 카드(name, rating, address, 이미지) 반환",,완료
,,,3.1.2 events_vector 의미 검색,,,"""아이와 갈 만한 체험"" → Gemini gemini-embedding-001(768d) → OpenSearch(GCE) events_vector k-NN. 날짜 범위 Pre-filtering + 설명 벡터 유사도",,완료
3. 행사/축제,,,3.1.1 Naver 뉴스+블로그 검색,,공공 API에서 피벗,날짜 파싱(15+ 패턴) → 검색 쿼리 3개 생성 → Naver 뉴스+블로그 병렬 6req → Gemini JSON mode 구조화 추출 → confidence 필터,,완료
,,,5.1.2 레이더차트 시각화,,,Recharts 레이더차트로 A vs B 장소 비교. chart 블록으로 채팅 인라인 표시,,완료
5. 분석,,,5.1.1 LLM 6개 지표 정량화,,end-to-end 동작 확인,Google Reviews + Naver Blog = 20건/장소 → Gemini LLM으로 맛/서비스/분위기/가성비/청결/접근성 1~5점 채점,,완료
,,,4.2.1 Google Calendar MCP 일정 생성,,슬랙 증거 없음,자연어 날짜/시간 → 일정 자동 생성. 빈 시간 조회 포함,,완료
[삭제] 즐겨찾기 - 북마크로 대체,,,[삭제] 즐겨찾기 → 북마크로 대체 (bookmarks 테이블),,v2: user_favorites 테이블 DROP. bookmarks 테이블로 대체 (5종 프리셋 핀). 즐겨찾기 패러다임 폐기.,REST API (POST/GET/DELETE /api/v1/users/me/bookmarks). bookmarks 테이블 (5종 프리셋 핀: place/event/course/analysis/general). user_favorites 테이블 삭제됨.,,시작 전
,,,5.3.1 실시간 도시데이터 API 호출,,P1. 런타임 도구 미구현,"서울시 실시간 도시데이터 API(5분갱신, 120장소). 인구+교통+환경 융합. search_agent ReAct 도구. Cloud SQL population_stats(29만건) + administrative_districts(427개 행정동 폴리곤) 조인. district NULL 이슈 해결 필요",,시작 전
4. 추천/코스,,,4.1.1 카테고리별 병렬 검색,,,카페+음식점+관광지 등 카테고리별 asyncio.gather 병렬 검색,,완료
,,,5.2.1 3단계 가격 추정,,P1. 런타임 도구 미구현,① price_level + LLM 추정 ② Naver Blog 배치 정규식 추출(min/max/avg) ③ 런타임 fallback. 식신 미확보 확정,,진행 중
,,,4.1.2 경로 최적화 + 타임라인,,,PostGIS ST_DWithin 반경 필터 → Greedy nearest-neighbor → OSRM 도보 경로 폴리라인 + 시간별 타임라인 카드,,완료
,,,2.4.2 음식점 예약 파이프라인,,네이버 예약/카카오/구글/전화 번호 fallback,"Google Places API 실시간 조회(예약링크, 전화번호, 영업시간) → 네이버 예약/카카오맵/구글 예약 딕링크 생성. 등록 안 된 소규모 식당은 전화번호 안내 fallback",,완료
,,,3.1.3 한국어 날짜 파싱,,날짜 표현 15+ 패턴 테스트 완료,"""이번 주말"", ""다음 주"", ""3월 말"", ""봄"", ""오늘"" 등 15+ 날짜 패턴 → (date_from, date_to, date_token) 변환. 복수 날짜 범위(""3/28~30"")도 지원",,완료
5. 분석,,,place_analysis DROP → 런타임 lazy 전환,,v2 변경: place_analysis 테이블 DROP. 리뷰 분석은 런타임 Gemini 채점으로 전환. 차트 블록은 messages에 저장.,batch_review_http://analysis.py: Google Reviews(10건) + Naver Blog snippet(10건) 배치 수집 → 광고/협찬 필터링 → Gemini 2.5 Flash 6개 지표 + 키워드 + 3줄 요약 → Cloud SQL place_analysis UPSERT(TTL 7일) + OpenSearch(GCE) place_reviews Gemini 임베딩(768d). --naver-only 모드(google_place_id NULL 대응),,완료
,,,5.2.2 가격 데이터 배치 수집 (ETL),,12건 검증. blog_price_data.csv,collect_price_http://data.py: Naver Blog API 카테고리별 검색(음식점: '{name} 메뉴 가격'). 3중 필터링(상호명+자치구+가격 하한선) → 정규식 '숫자+원' 패턴 → min/max/avg → Cloud SQL places.raw_data JSONB. 장소당 0.3초,,진행 중
2. 장소,,,2.5.3 간판 여러 개 주인공 판단,,,"OCR에서 복수 텍스트 추출 시 → 1차: Gemini Vision으로 이미지 맥락 보고 주인공 판단 → 판단 실패 시 사용자에게 선택지 제시 (""어디를 찾으시나요? ① 스타벅스 ② 맥도날드"")",,시작 전
,,,4.1.3 course + map_route 블록 응답 스키마,,http://api-course-response-spec.md 정의 완료,"course 블록(stops[]: order, arrival_time, place, transit_to_next) + map_route 블록(markers, polyline segments). course_id(ULID)로 묶임. Phase 1은 polyline.type='straight', Phase 2에서 'road'로 전환(FE 변경 없음)",,완료
,,,2.4.4 숙박 예약 파이프라인,,야놀자/여기어때 딕링크. 멀티턴 대화 필요,멀티턴 대화로 체크인/체크아웃 수집 → 날짜 파라미터 포함 야놀자/여기어때 딕링크 생성. Checkpointer로 대화 츝텍스트 유지 필요,,완료
,,,2.5.4 장소 특정 후 의도 분기,,식별 성공 후 자동 분기,"""여기 어디야?"" → 장소 카드. ""영업시간?"" → Google Places 실시간 조회. ""근처 맛집?"" → 코스 추천 파이프라인 연결. ""예약해줘"" → 예약 파이프라인 연결",,시작 전
,,,5.4.1 이미지 배치 측셔닝 (ETL),,코드 완성. ~$3/1K건,"load_image_http://captions.py: Google Places Photos → Claude Haiku 측셔닝(분위기/외관 3문장) → Gemini gemini-embedding-001 임베딩(768d) → OpenSearch(GCE) places_vector image_caption + image_embedding. 대상: 관광지+카페+음식점 ~1,000건",,시작 전
2. 장소,,,2.2.4 리뷰 수집 + 추천 이유 스트리밍,,PoC에서 확인. Google Places는 조건 필터링 불가,"Naver Blog(""{name} {category} 후기"" 검색, AND 필터) + Google Places Details(reviews, 최대 10건) 병렬 수집 → 조건 키워드 리랭킹 → 장소별 text_stream 추천 이유 + 네이버 블로그 pill 링크",,완료
,,,3.1.4 LLM 구조화 추출 + confidence 필터,,confidence=low 항목 드롭. 공식 URL 미확보 한계,"Gemini 2.5 Flash JSON mode로 검색 결과 → {title, category, place_name, date_start, date_end, price, detail_url, summary, confidence} 배열 추출. high/medium만 카드 표시(최대 5개). URL 도메인 판별 → 버튼 레이블 분기(공식 사이트 vs 뉴스/블로그)",,완료
,,,2.4.5 공공시설 예약 파이프라인,,서울시 공공서비스예약 API,"서울시 공공서비스예약 API 실시간 조회(사전예약 필요 여부, 잔여석). http://yeyak.seoul.go.kr 딕링크 생성. 현장 입장 가능 시 안내",,완료
,,,2.4.3 행사·공연 예약 파이프라인,,KOPIS API + 인터파크 딕링크,"KOPIS API / 서울 문화행사 API 실시간 조회(잔여석, 요금, 예매 링크). 잔여석 있으면 예매 딕링크, 무료 행사는 현장 입장 안내, 예약 마감 표시",,완료
대화: 의도 분류,Phase 1,대화,자연어 → 13개 Intent 자동 분류,이정,의미 없는 쿼리 / 민감 정보 쿼리 시 적절한 대응 필요,사용자가 입력한 메시지를 AI가 자동으로 분류,사용자가 메시지를 입력하면 AI가 자동으로 의도를 판별하여 적절한 기능을 실행. 사용자는 별도 조작 없이 채팅만 하면 됨,시작 전
대화: 대화 창에 요청 구분 표시,Phase 1,대화,16종 블록 타입 프론트 렌더링,이정,v2: favorites 블록 삭제 (북마크 전환). 16종 콘텐츠 블록: intent/text/text_stream/place/places/events/course/map_markers/map_route/chart/calendar/references/analysis_sources/disambiguation/done/error,16종 콘텐츠 블록: intent/text/text_stream/place/places/events/course/map_markers/map_route/chart/calendar/references/analysis_sources/disambiguation/done/error. WS 제어 프레임(messages 미저장): status/done_partial.,"장소 카드, 지도, 레이더차트, 행사 카드 등 시각 컨포넌트만 인라인 표시. 내부 블록 타입(intent 등)은 사용자에게 노출하지 않음",시작 전
[삭제] RAG 검색 전환 - 장소검색에 통합,,,Text-to-SQL + 벡터 병합,,"v2: places_vector 535,331건 적재 완료. 3-Layer page_content (구조적 + 카테고리 기본 설명 60종 + 리뷰). 장소검색에 통합됨.",Cloud SQL(정형) + OpenSearch places_vector k-NN Gemini 768d(비정형) 병합 검색,사용자에게는 변화 없음. 내부적으로 검색 결과가 DB에서 나오게 되어 응답 속도와 정확도가 높아짐,완료
대화: 쿼리 전처리,Phase 1,대화,사용자 쿼리 확장/수정 (모든 검색 기능 공통),이정,,"Intent Router 직후에 공통으로 실행. ""카공"" → ""콘센트 카페"", ""이번 주말 전시"" → ""서울 무료 전시 2026년 3월"" 등. Gemini JSON mode",사용자 쿼리가 들어오는 모든 기능에서 자동으로 검색어를 확장/수정하여 검색 품질 향상,시작 전
대화: 대화 이력 관리,Phase 1,대화,GET /api/v1/chats,이정,,"conversations 테이블에서 user_id로 thread 목록을 최신순(updated_at DESC)으로 반환. langgraph_checkpoints에는 user_id가 metadata JSON에만 있어 인덱스 조회가 불가하므로, 채팅 목록 조회는 반드시 conversations를 기준으로 수행한다.","사이드바에서 이전 채팅 목록이 표시되고, 클릭하면 해당 대화로 이동",시작 전
대화: 세션 유지,Phase 1,대화,LLM 컨텍스트 복원 + 전체 대화 이력 영속 저장,이정,북마크 기능의 전제조건,"1) langgraph-checkpoint-postgres: LLM 컨텍스트 복원용 (압축 가능)
2) messages 테이블: 전체 대화 원본 append-only 저장 (절대 삭제/압축 안 함). UI 표시 + 북마크용",브라우저를 닫았다가 다시 열어도 이전 대화가 복원됨. 전체 대화 이력은 원본 그대로 영구 보존되어 북마크에서 상시 접근 가능,시작 전
장소 추천,Phase 1,장소,SQL + Vector k-NN + LLM Rerank 3단계,이정,v2: place_analysis 리랭킹 → LLM Rerank(Gemini Flash)로 전환. 카테고리 pre-filter + Vector + Gemini 후보 재정렬. 테스트 9/9 정확도.,PostGIS ST_DWithin(DB) + Google Places Text Search 확장 쿼리 3개(API) 병렬 → 합산/중복제거 → place_analysis 6개 지표 가중 스코어링 → 상위 N건,"""카공하기 좋은 카페"" 입력 시 조건에 맞는 장소 5개가 카드로 표시되고, 각 장소마다 추천 이유가 함께 나옴",시작 전
장소 검색,Phase 1,장소,SQL + Vector k-NN 하이브리드 검색,이정,v2: places_vector 535K 적재 완료 (3-Layer page_content). Text-to-SQL(PG+PostGIS) + places_vector k-NN(OS 768d) 병합 검색 전환 완료.,Phase 1 초기: Google Places Text Search 직접 → 이후: Text-to-SQL(Cloud SQL) + places_vector k-NN(OpenSearch Gemini 768d) 병합 검색으로 전환,"""홍대 카페"" 입력 시 장소 카드(이름, 평점, 주소, 사진)가 채팅창에 인라인으로 표시됨",시작 전
장소 추천: 사유 표시,Phase 1,장소,리뷰 수집 + text_stream 추천 이유,이정,,Naver Blog + Google Reviews 병렬 수집 → 키워드 리랭킹 → 장소별 추천 이유 + 블로그 pill 링크,"각 추천 장소 카드 아래에 ""콘센트가 많고 넓어서 작업하기 좋아요"" 같은 추천 이유가 스트리밍되고, 네이버 블로그 링크 pill이 표시됨",시작 전
대화 스트리밍,Phase 1,대화,토큰 단위 실시간 전송,이정,,FastAPI WebSocket → text_stream 블록으로 LLM 응답 토큰 단위 전송,AI 응답이 한 글자씩 실시간으로 타이핑되며 표시됨. ChatGPT/Claude처럼 스트리밍 응답,시작 전
[삭제] 리랭킹 - 장소추천에 통합,,,6개 지표 가중 스코어링,,v2: place_analysis DROP → LLM Rerank으로 대체. 장소추천에 통합됨.,가중치 프리셋(study/date/budget/family/default). 분석 없는 장소는 rating+popularity 폴백,리뷰 분석 데이터가 있는 장소는 점수가 높게 노출됨. 데이터 없는 장소는 평점+인기도로 정렬,완료
행사 검색: 정형 검색,Phase 1,행사,DB 우선 검색 → 부족 시 Naver fallback,한정수,,1차: Cloud SQL events + OS events_vector 검색 → 결과 부족 시 2차: Naver 뉴스+블로그 병렬 6req → Gemini JSON mode 구조화 추출 → confidence 필터,"""이번 주말 서울 전시회"" 입력 시 자체 DB에서 먼저 검색하고, 결과가 부족하면 네이버 검색으로 보완. 행사 카드 목록 표시",시작 전
지도 마커,Phase 1,지도,Leaflet 번호 뱃지 + 팝업,이정,,장소 위치 마커 표시. 클릭 시 장소 정보 팝업,"검색/추천 결과 장소들이 번호 뱃지 마커로 지도에 표시되고, 클릭 시 장소 정보 팝업이 뜸",시작 전
행사 검색: 비정형 검색,Phase 1,행사,events_vector k-NN 검색,한정수,,"""아이와 갈 만한 체험"" → Gemini 768d → OpenSearch k-NN + 날짜 Pre-filtering","""아이와 갈 만한 체험"" 같은 자연어 검색도 관련 행사가 검색됨. DB에 저장된 행사 설명과 의미적으로 매칭",시작 전
코스 추천: 타임라인별 경로 렌더링,Phase 1,코스,course + map_route 블록 스키마,이정,api-course-spec 정의 완료,"stops[], markers[], polyline segments. course_id(ULID)로 묶임. Phase 1=straight, Phase 2=road (FE 변경없음)","코스 타임라인 패널(순서별 장소, 도착시간, 체류시간, 이동수단) + 지도 경로가 동시에 나타남",시작 전
코스 추천: 경로 표시,Phase 1,코스,OSRM 폴리라인,이정,"피드백: Google Maps 딕링크 경로 연결 고려 / 자동차, 도보, 대중교통 등 각 수단에 따른 경로를 따로 구분",코스/경로 표시 시 실제 경로 렌더링. map_route 블록,코스 추천 시 장소 간 실제 경로가 지도에 선으로 표시됨,시작 전
일정 추가,Phase 1,일정,Google Calendar MCP,강민서,"피드백: 자체 캘린더 탭 추가 고려, Phase 3",자연어 날짜/시간 → 일정 자동 생성 + 빈 시간 조회,"""토요일 오후 2시에 경복궁 일정 추가해줘"" 입력 시 Google Calendar에 일정이 자동 생성됨",시작 전
코스 추천,Phase 1,코스,병렬 검색 → 경로 최적화 → 타임라인,이정,영업 시간도 고려 필요!,카테고리별 asyncio.gather → PostGIS ST_DWithin → Greedy nearest-neighbor → OSRM 도보 경로 + 타임라인 카드,"""홍대 카페+전시+맛집 코스 짜줘"" 입력 시 타임라인 카드(시간별 장소 + 이동시간) + 지도 경로가 함께 표시됨",시작 전
예약 연동,Phase 1,예약,DeepLink 4개 카테고리,강민서,,"음식점(네이버/카카오/구글), 행사(KOPIS/인터파크), 공공시설(http://yeyak.seoul.go.kr), 숙박(야놀자/여기어때). 전화번호 fallback","""여기 예약해줘"" 입력 시 네이버예약/카카오맵/야놀자 등 예약 페이지 링크 버튼이 제공됨. 직접 예약은 불가, 딥링크로 연결",시작 전
중첩된 요청 대응,Phase 1,대화,복수 intent 순차 실행,이정,,"Intent Router가 하나의 메시지에서 복수 intent를 감지 → 각 intent를 순차적으로 실행 → 여러 종류의 응답 블록을 순서대로 WS 스트리밍.

예: ""홍대 카페 추천해주고, 이번 주말 전시회도 알려줘""
→ [intent: PLACE_RECOMMEND, EVENT_SEARCH]
→ PLACE_RECOMMEND 블록 먼저 스트리밍 (status → text_stream → places[] → map_markers)
→ EVENT_SEARCH 블록 이어서 스트리밍 (status → text_stream → events[])
→ done","하나의 메시지에 여러 요청이 포함되어 있으면 각각 순서대로 처리하여 응답. 예: ""카페 추천해주고, 주말 전시회도 알려줘"" → 카페 추천 응답 후 전시회 검색 응답이 이어서 나옴",시작 전
리뷰 비교,Phase 1,리뷰,6개 지표 런타임 Gemini 채점 + 레이더차트,정조셉,v2: place_analysis DROP. 요청 시 Naver Blog + Google Reviews 크롤링 → Gemini 6지표 채점 → Recharts 레이더차트. 결과는 messages.blocks chart 블록에 저장.,Google Reviews + Naver Blog = 20건/장소 → Gemini LLM 6개 지표 채점 → Recharts 레이더차트. Naver-only 모드,"""스타벅스 vs 블루보틀 비교해줘"" 입력 시 6개 지표 레이더차트가 채팅창에 인라인으로 표시됨",시작 전
비용 견적,Phase 1,비용,3단계 가격 추정,정조셉,P1. 런타임 도구 미구현,① price_level + LLM 추정 ② Naver Blog 정규식 추출(min/max/avg) ③ 런타임 fallback. 식신 미확보,"""강남 이탈리안 2인 얼마?"" 입력 시 ""약 8~12만원"" 같은 예산 감각이 텍스트로 제공됨",시작 전
이미지 검색: 주인공 판단 쿼리,Phase 1,이미지 검색,OCR 복수 텍스트 시 주인공 판단,강민서,,"Gemini Vision으로 맥락 판단 → 실패 시 사용자 선택지(""① 스타벅스 ② 맥도날드"")","사진에 간판이 여러 개일 때 ""어디를 찾으시나요? ① 스타벅스 ② 맥도날드"" 선택지 제시",시작 전
이미지 검색: 간판 없을 시 추천 장소 후보 표시,Phase 1,이미지 검색,간판 없으면 Gemini Vision → k-NN,강민서,,Vision 1회 → 타입+키워드 → Gemini 768d → 배치 측셔닝 측션과 k-NN 유사도 검색 → Top 5,간판 없는 인테리어 사진 업로드 시 비슷한 분위기의 장소 5곳을 추천,시작 전
이미지 검색 (OCR),Phase 1,이미지 검색,간판 있으면 easyocr → DB 검색,강민서,P2. 노드 미구현,상호명 추출 → DB 검색. 체인점은 PostGIS 가까운 지점. LLM 0회 호출,간판이 보이는 사진 업로드 시 해당 장소를 자동 식별하여 정보 카드 표시,시작 전
혼잡도 분석,Phase 1,혼잡도 분석,실시간 도시데이터 API,정조셉,"v2: population_stats 278,880건 + administrative_districts 427동 적재 완료. PostGIS ST_Contains 공간 쿼리 준비 완료. 런타임 도구 구현 필요.","서울시 API(5분갱신, 120장소). Cloud SQL population_stats(29만) + administrative_districts(427) 조인","""홍대 지금 붐비나?"" 입력 시 현재 혼잡도(여유/보통/붐빔) + 인구 추이 정보가 표시됨",시작 전
,ETL,,load_place_http://reviews.py,,17건 적재,Cloud SQL place_analysis → summary+keywords 결합 → Gemini 768d → OS place_reviews Bulk 적재,,시작 전
,ETL,,load_events_http://vector.py,,"1,146건 적재",Cloud SQL events → title+summary 결합 → Gemini 768d 임베딩 → OS events_vector Bulk 적재,(내부) 사용자에게 노출 안 됨. 행사 의미 검색을 위한 벡터 DB 적재,시작 전
,ETL,,collect_price_http://data.py,,12건 검증,Naver Blog 카테고리별 검색 → 3중 필터링 → 정규식 '숫자+원' → min/max/avg → Cloud SQL raw_data JSONB. 장소당 0.3초,(내부) 사용자에게 노출 안 됨. 백그라운드에서 메뉴/가격 데이터 수집,시작 전
,ETL,,load_places_http://vector.py,,100건 적재,Cloud SQL places → page_content 템플릿 생성 → Gemini 768d 임베딩 → OS places_vector Bulk 적재,(내부) 사용자에게 노출 안 됨. 검색 품질 향상을 위한 장소 벡터 DB 적재,시작 전
,ETL,,load_image_http://captions.py,,코드 완성. ~$3/1K,"Google Places Photos → Claude Haiku 측셔닝(3문장) → Gemini 768d → OS places_vector image_caption + image_embedding. ~1,000건 대상",(내부 ETL) 사용자에게 노출 안 됨. 장소 이미지의 분위기 설명 텍스트 생성,시작 전
리뷰 배치 분석,ETL,,batch_review_http://analysis.py → 삭제 (place_analysis DROP),,v2: place_analysis 테이블 DROP. 리뷰 분석은 런타임 Gemini 채점으로 전환. ETL 배치 적재 불필요.,Google Reviews + Naver Blog → 광고 필터 → Gemini 6개 지표 + 키워드 + 3줄 요약 → Cloud SQL place_analysis + OS place_reviews Gemini 768d,(내부) 사용자에게 노출 안 됨. 백그라운드에서 장소별 리뷰 분석 데이터 생성,완료
단일 장소 분석,Phase 1,장소 분석,place_analysis 테이블 조회 → 런타임 Gemini 채점,이정,v2: place_analysis DROP. 요청 시 Naver Blog + Google Reviews 크롤링 → Gemini 6지표 채점 → chart 블록 응답. 결과는 messages에 저장.,"""이 카페 분석해줘"" → place_analysis 테이블에서 6개 지표(전반적 만족도 satisfaction / 접근성 accessibility / 청결 cleanliness / 가성비 value / 분위기 atmosphere / 전문성 expertise) + 키워드 + 3줄 요약 반환. 'expertise'는 카테고리별 해석이 다릅니다 — 카페면 음료/맛 품질, 공원이면 경관/편의시설, 도서관이면 장서/프로그램 등으로 LLM이 카테고리에 따라 해석한다. REVIEW_COMPARE(비교)와 구분되는 단일 장소 분석.","""이 카페 분석해줘"" 입력 시 6개 지표 점수 + 키워드 + 요약이 텍스트로 표시됨",시작 전
모니터링,ETL,,Grafana+Prometheus+Loki+Jaeger → Slack 알림,,아키텍처 이미지에 Naver API 누락 — 업데이트 필요,"GCE에 모니터링 스택 배포. 메트릭(응답시간/오류율), 로그(FastAPI), 트레이싱(LangGraph 노드별) 수집 → 임계값 초과 시 Slack 알림",,시작 전
회원가입/로그인,Phase 1,회원가입 / 로그인,이메일+비밀번호 가입 + Google 소셜 로그인,이정,북마크/대화이력 전제조건,FastAPI + JWT 토큰. 이메일+비밀번호 기본 가입. Google OAuth 2.0 소셜 로그인 (Calendar 연동 시너지),"회원가입 페이지에서 이메일/비밀번호로 가입하거나, Google 계정으로 바로 로그인. 로그인 후 북마크/대화 이력 사용 가능",시작 전
북마크 위치로 이동,Phase 1,북마크,북마크 위치로 이동,강민서,,북마크 클릭 시 messages 테이블에서 해당 thread_id의 전체 메시지를 불러와서 message_id 위치로 FE 스크롤 이동. LLM 컨텍스트와 무관하게 동작 (conversations 테이블 원본 참조),북마크를 클릭하면 해당 대화의 해당 시점으로 자동 스크롤 이동. 아무리 오래된 대화도 원본이 보존되어 있으므로 항상 동작,시작 전
북마크 생성,Phase 1,북마크,북마크 생성,강민서,즐겨찾기 기능 대체,"채팅 중 특정 응답/쿼리에 핀 버튼 클릭 → 5종 프리셋(🏠 장소, 🎫 행사, 🗺️ 코스, 📊 분석, 📌 일반) 중 선택 → bookmarks 테이블에 (user_id, thread_id, message_id, pin_type) 저장",채팅 도중 특정 응답에 핀 버튼을 누르면 5가지 프리셋 중 하나를 선택하여 북마크 저장,시작 전
대화별 북마크 필터,Phase 1,북마크,대화별 북마크 필터,강민서,,대화 목록에서 특정 대화 탭 클릭 시 thread_id로 필터링하여 해당 대화의 북마크만 표시,특정 대화를 선택하면 해당 대화에서 저장한 북마크만 필터링되어 표시됨,시작 전
전체 북마크 목록,Phase 1,북마크,전체 북마크 목록 조회,강민서,,GET /api/v1/users/me/bookmarks → 모든 대화의 북마크를 최신순으로 반환. 각 항목에 pin_type 아이콘 + 메시지 미리보기(preview_text) + 대화 제목 포함,북마크 탭에 들어가면 모든 대화의 북마크가 최신순으로 표시됨. 핀 타입 아이콘 + 메시지 미리보기 + 대화 제목,시작 전
북마크 삭제,Phase 1,북마크,북마크 삭제,강민서,,북마크 목록에서 삭제 버튼 또는 스와이프로 개별 북마크 삭제. DELETE /api/v1/users/me/bookmarks/{bookmark_id},북마크 목록에서 특정 북마크를 삭제할 수 있음,시작 전
대화: 응답 중단,Phase 1,대화,응답 중단 (Interrupt),이정,,"ESC 키 또는 중단 버튼 클릭 시 FE가 { ""type"": ""cancel"" } 메시지를 WS로 전송 → BE가 LangGraph 실행 중단 + LLM 스트리밍 연결 종료 → 지금까지 생성된 내용만 유지","AI 응답이 스트리밍되는 도중 ESC를 누르거나 ""중단"" 버튼을 클릭하면 즉시 생성이 멈춤",시작 전
대화: 처리 상태 표시,Phase 1,대화,처리 상태 표시,이정,,"LangGraph 노드 전환 시마다 WS로 { ""type"": ""status"", ""content"": ""..."" } 블록 전송. 노드별 상태 메시지 매핑 (intent_router → ""의도를 파악하고 있어요"", search_agent → ""장소를 검색하고 있어요"", review_tool → ""리뷰를 분석하고 있어요"" 등). text_stream 시작 시 로딩 해제","AI가 응답을 준비하는 동안 ""장소를 검색하고 있어요..."", ""리뷰를 분석하고 있어요..."" 같은 진행 상태가 실시간으로 표시됨",시작 전
대화: 에러 처리,Phase 1,대화,에러 처리 / 재시도,이정,,"WS 연결 끊김 시 자동 재연결 (exponential backoff). API 실패/LLM 타임아웃 시 { ""type"": ""error"", ""content"": { ""message"": ""string"", ""retryable"": true } } 블록 전송. retryable=true이면 “다시 시도” 버튼 표시",네트워크 끊김 시 자동 재연결. API 실패/타임아웃 시 에러 메시지 + “다시 시도” 버튼 표시,시작 전
대화: 대화 삭제,Phase 1,대화,대화 삭제,이정,,채팅 목록에서 삭제 버튼 또는 스와이프로 해당 thread 삭제. DELETE /api/v1/chats/{thread_id}. ON DELETE CASCADE로 messages 및 langgraph_checkpoints의 해당 thread 레코드가 함께 삭제된다 (ERD v6.2 FK 체인). 관련 북마크(P2 도입 이후)는 bookmarks.thread_id FK CASCADE로 자동 제거된다. 사용자가 탈퇴하면 users CASCADE 체인으로 동일하게 일괄 삭제된다.,채팅 목록에서 특정 대화를 삭제할 수 있음,시작 전
대화: 응답 재생성,Phase 1,대화,응답 재생성 (Retry),이정,,AI 응답 하단의 “다시 생성” 버튼 클릭 시 마지막 assistant 메시지를 삭제하고 동일 user 메시지를 WS로 재전송. LLM의 비결정적 특성으로 다른 결과 생성,AI 응답이 마음에 안 들 때 “다시 생성” 버튼을 누르면 같은 질문에 대해 새로운 응답이 생성됨,시작 전
대화: 새 대화 시작,Phase 1,대화,새 대화 시작,이정,,사이드바 “+ 새 대화” 버튼 클릭 시 새 thread_id를 생성하고 빈 채팅창으로 전환. 기존 대화는 사이드바 목록에 유지,사이드바의 “+ 새 대화” 버튼을 누르면 새로운 빈 채팅창이 열림. 기존 대화는 목록에 유지,시작 전
