기능,Method,Phase,Query Params,Request,Response,URL,담당자,도메인,설명
WS: 비용 견적 (COST_ESTIMATE),WS,Phase 2,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""강남 이탈리안 2인 얼마?"" }","응답 블록 순서:
intent → text_stream → done

text_stream 내용:
""강남 이탈리안 레스토랑 2인 기준
예상 비용: 약 8만~12만원
(출처: 네이버 블로그 가격 데이터)""",/api/v1/chat/ws,,채팅,
WS: 예약 연동 (BOOKING),WS,Phase 1,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""여기 예약해줘"" }","응답 블록 순서:
intent → text_stream → done

text_stream에 딕링크 포함:
""네이버 예약: https://booking.naver.com/...
카카오맵: https://place.map.kakao.com/...
전화: 02-XXX-XXXX""",/api/v1/chat/ws,,채팅,
WS: 리뷰 비교 (REVIEW_COMPARE),WS,Phase 2,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""스타벅스 vs 블루보틀 비교"" }","응답 블록 순서:
intent → status → text_stream → chart → analysis_sources → done

chart 블록:
{ ""chart_type"": ""radar"",
  ""places"": [
    { ""name"": ""string"",
      ""scores"": { ""satisfaction"": 4.3, ""accessibility"": 4.7, ""cleanliness"": 3.0, ""value"": 3.8, ""atmosphere"": 4.0, ""expertise"": 3.5 } }
  ] }

※ 6 지표는 ERD v6.2 고정 키: satisfaction/accessibility/cleanliness/value/atmosphere/expertise. 'expertise'는 카테고리별로 LLM이 해석(카페=음료품질, 공원=경관/편의시설, 도서관=장서/프로그램 등).

analysis_sources 블록:
{ ""review_count"": 15, ""sources"": [""Google"", ""Naver""] }",/api/v1/chat/ws,,채팅,
WS: 장소 검색 (PLACE_SEARCH),WS,Phase 1,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""홍대 카페"" }","응답 블록 순서:
intent → status → text_stream → places[] → map_markers → done

places 블록:
{ ""items"": [
  { ""place_id"": ""uuid"",
    ""name"": ""string"",
    ""category"": ""string"",
    ""address"": ""string"",
    ""location"": { ""lat"": 0.0, ""lng"": 0.0 },
    ""rating"": 4.5,
    ""photo_url"": ""string"",
    ""is_open_now"": true }
] }",/api/v1/chat/ws,,채팅,
WS: 장소 추천 (PLACE_RECOMMEND),WS,Phase 1,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""카공하기 좋은 카페 추천"" }","응답 블록 순서:
intent → text_stream → places[] → map_markers → references → done

places 블록:
{ ""items"": [
  { ""place_id"": ""uuid"",
    ""name"": ""string"",
    ""recommendation_reason"": ""string"",
    ""scores"": { ... } | null,
    ""blog_links"": [{ ""title"": ""string"", ""url"": ""string"" }]
  }
] }",/api/v1/chat/ws,,채팅,
WS: 혼잡도 (CROWDEDNESS),WS,Phase 2,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""홍대 지금 붐변?"" }","응답 블록 순서:
intent → text_stream → done

text_stream 내용:
""현재 홍대입구역 일대는 '약간 붐빔' 상태입니다.
오후 2시 기준 생활인구 약 12,500명...""",/api/v1/chat/ws,,채팅,
WS: 응답 중단 (Interrupt),WS,Phase 1,,"Client → Server:
{ ""type"": ""cancel"" }","Server → Client:
{ ""type"": ""done"",
  ""content"": {
    ""reason"": ""cancelled"",
    ""partial"": true
  } }

BE가 LangGraph 실행 중단 + LLM 스트리밍 종료. 지금까지 생성된 내용만 유지",/api/v1/chat/ws,,채팅,
WS: 처리 상태 표시 (Status),WS,Phase 1,,,"Server → Client (본 응답 전에 노드 전환마다 전송):
{ ""type"": ""status"",
  ""content"": ""의도를 파악하고 있어요..."" }
{ ""type"": ""status"",
  ""content"": ""장소를 검색하고 있어요..."" }
{ ""type"": ""status"",
  ""content"": ""리뷰를 분석하고 있어요..."" }

→ text_stream 시작 시 FE에서 로딩 해제",/api/v1/chat/ws,,채팅,
북마크 목록 조회,GET,Phase 2,"• thread_id (optional): 특정 대화 필터
• pin_type (optional): 핀 타입 필터
• cursor: 페이지네이션
• limit: 기본 20",,"Response (200 OK)
{ ""items"": [
    { ""bookmark_id"": ""uuid"",
      ""thread_id"": ""string"",
      ""thread_title"": ""string"",
      ""message_id"": ""string"",
      ""pin_type"": ""string"",
      ""preview_text"": ""string"",
      ""created_at"": ""ISO 8601"" }
  ],
  ""next_cursor"": ""string"" }",/api/v1/users/me/bookmarks,,사용자,북마크 탭에 표시할 목록을 가져옴. 대화별/핀타입별 필터 가능
북마크 삭제,DELETE,Phase 2,,,Response (204 No Content),/api/v1/users/me/bookmarks/{bookmark_id},,사용자,북마크 목록에서 특정 북마크를 삭제
북마크 생성,POST,Phase 2,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""pin_type"": ""place"" | ""event"" | ""course"" | ""analysis"" | ""general"",
  ""preview_text"": ""string"" }","Response (201 Created)
{ ""bookmark_id"": ""uuid"",
  ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""pin_type"": ""string"",
  ""preview_text"": ""string"",
  ""created_at"": ""ISO 8601"" }",/api/v1/users/me/bookmarks,,사용자,채팅 도중 특정 응답에 핀을 꼽아 북마크 저장
WS: 에러 처리,WS,Phase 1,,,"Server → Client (에러 발생 시):
{ ""type"": ""error"",
  ""content"": {
    ""message"": ""string"",
    ""retryable"": true | false
  } }

FE: retryable=true이면 ""다시 시도"" 버튼 표시
WS 연결 끊김 시 자동 재연결 (exponential backoff)",/api/v1/chat/ws,,채팅,
WS: 응답 재생성 (Retry),WS,Phase 1,,"Client → Server:
{ ""type"": ""retry"" }","Server → Client:
마지막 assistant 메시지 삭제 후 동일 user 메시지로 재실행.
응답 블록이 새로 스트리밍됨",/api/v1/chat/ws,,채팅,
대화 삭제,DELETE,Phase 1,,,"Response (204 No Content)

messages + bookmarks cascade 삭제",/api/v1/chats/{thread_id},,채팅,채팅 목록에서 특정 대화를 삭제. 관련 메시지와 북마크도 함께 삭제됨
대화 제목 수정,PATCH,Phase 1,,"Request Body:
{ ""title"": ""string"" }","Response (200 OK)
{ ""thread_id"": ""string"",
  ""title"": ""string"",
  ""updated_at"": ""ISO 8601"" }",/api/v1/chats/{thread_id},,채팅,사이드바에서 대화 제목을 직접 수정
비밀번호 변경,PATCH,Phase 1,,"Request Body:
{ ""old_password"": ""string"",
  ""new_password"": ""string"" }","Response (200 OK)
{ ""message"": ""Password updated"" }",/api/v1/users/me/password,,사용자,현재 비밀번호 확인 후 새 비밀번호로 변경
닉네임 변경,PATCH,Phase 1,,"Request Body:
{ ""nickname"": ""string"" }","Response (200 OK)
{ ""user_id"": ""string (BIGINT)"",
  ""email"": ""string"",
  ""nickname"": ""string"",
  ""updated_at"": ""ISO 8601"" }

※ user_id는 ERD v6.2에서 BIGINT(불변식 #1). JSON은 문자열로 직렬화.",/api/v1/users/me,,사용자,설정 페이지에서 닉네임을 변경
WS: 일반 대화 (GENERAL),WS,Phase 1,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""안녕! 오늘 날씨 어때?"" }","응답 블록 순서:
intent → text_stream → done

의도 분류가 GENERAL일 때 일반 대화 응답.
텍스트만 스트리밍되고 별도 블록 없음",/api/v1/chat/ws,,채팅,
대화 메시지 전체 조회,GET,Phase 1,"• cursor: 페이지네이션 토큰
• limit: 기본 50",,"Response (200 OK)
{ ""items"": [
    { ""message_id"": ""string"",
      ""role"": ""user"" | ""assistant"",
      ""blocks"": [
        { ""type"": ""string"",
          ""content"": {} }
      ],
      ""created_at"": ""ISO 8601"" }
  ],
  ""next_cursor"": ""string"" }

• 전체 메시지 append-only 원본
• 북마크 위치 이동 시 사용",/api/v1/chats/{thread_id}/messages,,채팅,대화의 전체 메시지 원본을 가져옴. 북마크 위치 이동 시 사용
대화 공유 링크 생성,POST,Phase 2,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_range"": {
    ""from_message_id"": ""string"" | null,
    ""to_message_id"": ""string"" | null
  }
}

• 둘 다 null이면 전체 대화 공유
• 범위 지정 시 해당 구간만 공유","Response (201 Created)
{ ""share_token"": ""string"",
  ""share_url"": ""https://.../shared/{token}"",
  ""expires_at"": ""ISO 8601"" | null }",/api/v1/chats/{thread_id}/share,,채팅,특정 응답이나 전체 대화를 공유 링크로 만듬
공유 링크 해제,DELETE,Phase 2,,,Response (204 No Content),/api/v1/chats/{thread_id}/share,,채팅,발급한 공유 링크를 비활성화
공유 대화 조회 (읽기 전용),GET,Phase 2,,,"Response (200 OK)
{ ""thread_title"": ""string"",
  ""messages"": [
    { ""role"": ""user"" | ""assistant"",
      ""blocks"": [...],
      ""created_at"": ""ISO 8601"" }
  ] }

• 인증 불필요 (공개 엔드포인트)
• 읽기 전용",/shared/{share_token},,공통,공유 링크를 받은 사람이 로그인 없이 대화 내용을 읽기 전용으로 열람
AI 응답 피드백,POST,Phase 3,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""rating"": ""up"" | ""down"",
  ""comment"": ""string"" | null
}","Response (201 Created)
{ ""feedback_id"": ""uuid"",
  ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""rating"": ""up"" | ""down"",
  ""comment"": ""string"" | null,
  ""created_at"": ""ISO 8601"" }",/api/v1/feedback,,채팅,AI 응답에 👍/👎 + 선택적 텍스트 코멘트. 응답 품질 개선 데이터 수집용
WS: 중첩된 요청 대응 (Multi-Intent),WS,Phase 2,,,"Server → Client (복수 intent 순차 스트리밍):

[1번째 intent]
{ ""type"": ""intent"", ""content"": ""PLACE_RECOMMEND"" }
{ ""type"": ""status"", ""content"": ""장소를 검색하고 있어요..."" }
{ ""type"": ""text_stream"", ""content"": ""..."" }
{ ""type"": ""places"", ""content"": [...] }
{ ""type"": ""done_partial"" }

[2번째 intent]
{ ""type"": ""intent"", ""content"": ""EVENT_SEARCH"" }
{ ""type"": ""status"", ""content"": ""행사를 검색하고 있어요..."" }
{ ""type"": ""text_stream"", ""content"": ""..."" }
{ ""type"": ""events"", ""content"": [...] }
{ ""type"": ""done"" }

• done_partial: 다음 intent 남아있음
• done: 모든 intent 처리 완료",/api/v1/chat/ws,,채팅,"하나의 메시지에 복수 intent가 포함된 경우, Intent Router가 감지 후 각 intent를 순차 실행하여 블록을 연속 스트리밍"
WS: 중첩된 요청 대응 (Multi-Intent),WS,Phase 2,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""홍대 카페 추천해주고, 이번 주말 전시회도 알려줘"" }","Server → Client (복수 intent 순차 스트리밍):

{ type: ""intent"", content: ""PLACE_RECOMMEND"" }
{ type: ""status"", content: ""장소를 검색하고 있어요..."" }
{ type: ""text_stream"", ... }
{ type: ""places"", ... }
{ type: ""map_markers"", ... }
{ type: ""done_partial"" }

{ type: ""intent"", content: ""EVENT_SEARCH"" }
{ type: ""status"", content: ""행사를 검색하고 있어요..."" }
{ type: ""text_stream"", ... }
{ type: ""events"", ... }
{ type: ""done"" }

• done_partial: 다음 intent가 남아있음
• done: 모든 intent 처리 완료",/api/v1/chat/ws,,채팅,Intent Router가 복수 intent 감지 시 순차 실행. 각 intent 사이 done_partial로 구분
